"Location","Story","Nerve","Cost","Reward","Profit","Profit/Nerve","Place","Ignite","Stoke","Dampen"
"Townhouse","Daddy's Girl",25,42096,280000,237904,9516,"Hydrogen Tank","Unknown","Hydrogen Tank (3s); Hydrogen Tank (1s)",""
"Toy Shop","Child's Play",15,10025,25000,14975,998,"Kerosene","Unknown","",""
"Toy Shop","Blaze of Glory",30,3890,200000,196110,6537,"Gasoline; Gasoline","Unknown","Unknown (64s)",""
"Travel Agent","The Plane Truth",15,10025,26000,15975,1065,"Kerosene","Unknown","",""
"Travel Agent","Point of No Return",40,185787,140000,-45787,-1145,"Gasoline; Potassium Nitrate; Hydrogen Tank","Unknown","Thermite (45s); Hydrogen Tank (4s); Unknown (20s)",""
"TV Studio","Flame and Fortune",25,30075,700000,669925,26797,"Kerosene; Kerosene; Kerosene","Unknown","",""
"Warehouse","Old School",20,1058,35000,33942,1697,"Gasoline; Gasoline","Unknown","",""
"Warehouse","A Burnt Child Dreads the Fire",20,28064,280000,251936,12596,"Hydrogen Tank","Unknown","Hydrogen Tank (37s)",""
"Warehouse","Going Viral",25,1587,190000,188413,7536,"Gasoline; Gasoline; Gasoline","Unknown","",""
"Warehouse","Lock, Stock, and Barrel",20,28064,240000,211936,10596,"Hydrogen Tank","Unknown","Hydrogen Tank (3s)",""
"Waste Facility","Taking out the Trash",35,2378,140000,137622,3932,"Gasoline; Gasoline; Gasoline; Gasoline","Unknown","",""
"Yurt","High Time",20,1058,9100,8042,402,"Gasoline; Gasoline","Unknown","",""
